probe_id,plot_id,start_date,start_time,end_date,end_time,lat,lon,location,height,org_layer,excess_length,probe_length,landuse,time_res,available,Hoehe_DGM,Landn,Expo,Inkl,BArt,BTyp,ESC,geometry
S15_008,P0208,01.03.2022,00:00,02.03.2022,23:59,50.064917,11.815917,Birnstengel,760,0,41,120,coniferous_forest,10,1,755.71,1100,54.09,7.59,50,2,1152,"c(701522.456589236, 5549647.05700745)"
S15_009,P0209,09.03.2022,00:00,16.03.2022,23:59,50.20175,11.951639,Martinlamitz,551,10,20,120,coniferous_forest,10,1,542.6,1100,185.97,2.2,30,4,1134,"c(710632.030968169, 5565232.65030234)"
S15_010,P0210,18.03.2022,00:00,23.03.2022,23:59,50.141309,11.917535,Kirchenlamitz,726,10,10,120,coniferous_forest,10,1,721,1100,6.32,4.16,50,4,1154,"c(708461.681833351, 5558418.0665837)"
S15_011,P0211,25.03.2022,00:00,04.04.2022,23:59,50.149303,11.925128,Kirchenlamitz,651,6,14,120,coniferous_forest,10,1,651.39,1100,115.64,6.3,50,4,1154,"c(708969.270248796, 5559327.94122736)"
S15_012,P0212,06.04.2022,00:00,10.04.2022,23:59,50.096329,11.780772,Kornbach,623,5,15,120,coniferous_forest,10,1,623.9,1100,203.12,7.27,50,4,1154,"c(698877.55749138, 5553044.65827598)"
S15_013,P0204,12.04.2022,00:00,27.04.2022,23:59,50.055621,11.952927,Zeitelmoos,645,15,5,120,coniferous_forest,10,1,641.95,1100,339.98,1.8,50,4,1154,"c(711367.023774842, 5548992.47233882)"
S15_014,P0203,29.04.2022,00:00,03.05.2022,23:59,50.136556,11.846861,Reinersreuth,732,5,60,120,coniferous_forest,10,1,731.82,1100,158.15,11.47,50,4,1154,"c(703432.850131471, 5557694.57931156)"
S15_015,P0205,05.05.2022,00:00,09.05.2022,23:59,50.213667,11.754528,Laubersreuth,580,7,0,120,coniferous_forest,10,1,577.87,1100,169.84,1.83,50,4,1154,"c(696519.033964201, 5566018.89729042)"
S15_016,P0213,11.05.2022,00:00,17.05.2022,23:59,50.220131,11.812314,Markersreuth,548,15,5,120,coniferous_forest,10,1,543.7,1100,293.63,2.5,50,4,1154,"c(700614.000128023, 5566891.46643706)"
S15_017,P0214,19.05.2022,00:00,24.05.2022,23:59,50.177963,11.927022,Hallerstein,645,0,70,120,coniferous_forest,10,1,636.8,1100,182.81,6.68,30,4,1134,"c(708979.470158741, 5562519.1465138)"
S15_018,P0215,26.05.2022,00:00,13.06.2022,23:59,50.056944,11.970444,Zeitelmoos,649,5,5,120,coniferous_forest,10,0,628.26,1100,169.36,1.2,50,4,1154,"c(712614.822906357, 5549189.26288547)"
S15_019,P0216,15.06.2022,00:00,16.06.2022,23:59,50.093121,11.811915,Kornbach,677,10,50,120,coniferous_forest,10,0,674.86,1100,304.43,0.77,50,4,1154,"c(701117.99062451, 5552771.49289388)"
S15_020,P0217,18.06.2022,00:00,22.06.2022,23:59,50.227851,11.837425,Woelbersreuth,603,10,40,120,coniferous_forest,10,0,601.9,1100,282.77,4.17,50,4,1154,"c(702372.318133269, 5567817.57073076)"
S15_021,P0204,24.06.2022,00:00,04.07.2022,23:59,50.055621,11.952927,Zeitelmoos,645,10,33,120,coniferous_forest,10,0,641.95,1100,339.98,1.8,50,4,1154,"c(711367.023774842, 5548992.47233882)"
S15_022,P0203,07.07.2022,00:00,19.07.2022,23:59,50.136556,11.846861,Waldstein,732,5,35,120,coniferous_forest,10,0,731.82,1100,158.15,11.47,50,4,1154,"c(703432.850131471, 5557694.57931156)"
